2016-10-07	BTC	617.98
2016-10-08	BTC	619.5
2016-10-09	BTC	617.42
2016-10-10	BTC	618.72
2016-10-11	BTC	642.12
2016-10-12	BTC	635.79
2016-10-13	BTC	635.66
2016-10-14	BTC	638.03
2016-10-15	BTC	638.16
2016-10-16	BTC	641.92
2016-10-17	BTC	639.56
2016-10-18	BTC	635.11
2016-10-19	BTC	629.79
2016-10-20	BTC	628.05
2016-10-21	BTC	630.83
2016-10-22	BTC	652.75
2016-10-23	BTC	651.04
2016-10-24	BTC	649.98
2016-10-25	BTC	654.3
2016-10-26	BTC	674
2016-10-27	BTC	691.21
2016-10-28	BTC	689.95
2016-10-29	BTC	714.28
2016-10-30	BTC	697.41
2016-10-31	BTC	696.9
2016-11-01	BTC	730.7
2016-11-02	BTC	744.6
2016-11-03	BTC	690
2016-11-04	BTC	706.32
2016-11-05	BTC	706.99
2016-11-06	BTC	717.02
2016-11-07	BTC	706.42
2016-11-08	BTC	711.15
2016-11-09	BTC	720.97
2016-11-10	BTC	712.91
2016-11-11	BTC	716.9
2016-11-12	BTC	704.53
2016-11-13	BTC	704.01
2016-11-14	BTC	708.32
2016-11-15	BTC	712.29
2016-11-16	BTC	739.85
2016-11-17	BTC	730.71
2016-11-18	BTC	748.54
2016-11-19	BTC	750.77
2016-11-20	BTC	731.99
2016-11-21	BTC	736.4
2016-11-22	BTC	746.66
2016-11-23	BTC	741.52
2016-11-24	BTC	737.99
2016-11-25	BTC	739.74
2016-11-26	BTC	735.7
2016-11-27	BTC	729.24
2016-11-28	BTC	729.77
2016-11-29	BTC	732.37
2016-11-30	BTC	742.69
2016-12-01	BTC	754
2016-12-02	BTC	769.25
2016-12-03	BTC	766.98
2016-12-04	BTC	767.99
2016-12-05	BTC	752
2016-12-06	BTC	759.8
2016-12-07	BTC	764.34
2016-12-08	BTC	767.89
2016-12-09	BTC	773.22
2016-12-10	BTC	775.87
2016-12-11	BTC	771.05
2016-12-12	BTC	778.94
2016-12-13	BTC	776.18
2016-12-14	BTC	777.66
2016-12-15	BTC	776.16
2016-12-16	BTC	780.98
2016-12-17	BTC	788.57
2016-12-18	BTC	790.72
2016-12-19	BTC	790.81
2016-12-20	BTC	798.99
2016-12-21	BTC	834.5
2016-12-22	BTC	856.02
2016-12-23	BTC	917.26
2016-12-24	BTC	891.5
2016-12-25	BTC	896.12
2016-12-26	BTC	902.09
2016-12-27	BTC	925.2
2016-12-28	BTC	982.17
2016-12-29	BTC	970.72
2016-12-30	BTC	960.81
2016-12-31	BTC	973.37
2017-01-01	BTC	992.95
2017-01-02	BTC	1011.45
2017-01-03	BTC	1020.67
2017-01-04	BTC	1130.3
2017-01-05	BTC	1007
2017-01-06	BTC	895.71
2017-01-07	BTC	909
2017-01-08	BTC	923.33
2017-01-09	BTC	902.66
2017-01-10	BTC	907
2017-01-11	BTC	795.77
2017-01-12	BTC	812.25
2017-01-13	BTC	831.42
2017-01-14	BTC	828
2017-01-15	BTC	833.31
2017-01-16	BTC	834.41
